,jd,mag,mag_unc,filter,limmag,programid
0,44244.10021990741,34.79218662231025,0.1,NUV,inf,0.0
1,44245.10021990741,33.0021868948112,0.1,NUV,inf,0.0
2,44246.10021990741,37.485903371255446,0.1,NUV,inf,0.0
3,44247.10021990741,41.94222017085691,0.1,NUV,inf,0.0
4,44248.10021990741,46.76008893271316,0.1,NUV,inf,0.0
5,44249.10021990741,51.61285474978387,0.1,NUV,inf,0.0
6,44250.10021990741,58.24646241484751,0.1,NUV,inf,0.0
7,44251.10021990741,64.73993895353613,0.1,NUV,inf,0.0
8,44252.10021990741,71.15843008436312,0.1,NUV,inf,0.0
9,44253.10021990741,77.70163007599427,0.1,NUV,inf,0.0
10,44254.10021990741,83.90318099329804,0.1,NUV,inf,0.0
